,Nulls,count,Uniq_Val,mean,std,min,max,
Unnamed: 0,0,5043,5043,2522,1455.933034,1,5043,
color,19,5024,2,,,,,
director_name,104,4939,2398,,,,,
num_critic_for_reviews,50,4993,528,140.194272,121.6016754,1,813,
duration,15,5028,191,107.201074,25.19744081,7,511,
director_facebook_likes,104,4939,435,686.5092124,2813.328607,0,23000,
actor_3_facebook_likes,23,5020,906,645.009761,1665.041728,0,23000,
actor_2_name,13,5030,3032,,,,,
actor_1_facebook_likes,7,5036,878,6560.047061,15020.75912,0,640000,
gross,884,4159,4035,48468407.53,68452990.44,162,760505847,
genres,0,5043,914,,,,,
actor_1_name,7,5036,2097,,,,,
movie_title,0,5043,4917,,,,,x
num_voted_users,0,5043,4826,83668.16082,138485.2568,5,1689764,
cast_total_facebook_likes,0,5043,3978,9699.063851,18163.79912,0,656730,
actor_3_name,23,5020,3521,,,,,
facenumber_in_poster,13,5030,19,1.371172962,2.01357592,0,43,
plot_keywords,153,4890,4760,,,,,
movie_imdb_link,0,5043,4919,,,,,x
num_user_for_reviews,21,5022,954,272.7708084,377.9828856,1,5060,
language,12,5031,47,,,,,
country,5,5038,65,,,,,
content_rating,303,4740,18,,,,,
budget,492,4551,439,39752620.44,206114898.4,218,12215500000,1
title_year,108,4935,91,2002.470517,12.47459892,1916,2016,
actor_2_facebook_likes,13,5030,917,1651.754473,4042.438863,0,137000,
imdb_score,0,5043,78,6.442137617,1.125115866,1.6,9.5,y
aspect_ratio,329,4714,22,2.220403055,1.385112535,1.18,16,
movie_facebook_likes,0,5043,876,7525.964505,19320.44511,0,349000,
